cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
2C1GZMSY8MYYE,One Shot 111L Metallic Brass 16oz,111L,Pint,4069,,1,1
1BCXE3VJBV53T,One Shot 111L Metallic Brass 4oz,111L,4 oz,1888,,-21,1
HC6M16MY0PXFP,Evercoat Rage GOLD Lightweight Filler GALLON,,,10099,,-13,1
GAR9029X02TGR,Gliders Tip Series 1138,1138,,2295,0,-1,1
8JCJS787VM2Y4,Replacement Blade for #113 Knife,113B,,325,0,52,1
FDQG4WSWDJ14W,Craft Swivel Knife,,,695,,23,1
B42N5BT9Z0T2G,Zero VOC Reducer - Medium Qt.,,,715,,0,1
15WENECZPWFT0,Craft Swivel Knife Replacement Blades,114B,,275,0,54,1
Z466F8XAXD1ZT,One Shot 114L Medium Brown 8oz,,,1259,,-29,1
JQP89721VNNWA,One Shot 114L Medium Brown 16oz,,,1776,,-8,1
VNQZNQJXFN102,One Shot 114L Medium Brown 32oz,,,3163,,0,1
EAMKF91WBJDGC,"Grafix 9""x12"" Low Tack Matte Finish Frisket Film",,,649,,0,1
JC1ZTPZN56F5W,One Shot 115L Dark Brown 8oz,,,1259,,3,1
0YXQRZ7YKDZ4P,One Shot 115L Dark Brown 16oz,,,1685,,-3,1
725FVC7TYADJR,One Shot 115L Dark Brown 32oz,,,3163,,0,1
GGDV7NHHKH728,One Shot 115L Dark Brown 4oz,,,834,,-26,1
109SEAV9E9ZNY,Advantage Single Stage Reducer - Medium Quart,,,1195,,2,1
PYG5PHYQ1ZYN8,One Shot 116L Ivory 8oz,,,1559,,-42,1
752QGF2R0M7CG,One Shot 116L Ivory 16oz,,,1777,,-11,1
RJJJ1JRT7J9EP,One Shot 116L Ivory 4oz,,,834,,-8,1
G2Y6QKW2KFJQM,Gun Wash Solvent Gallon,,,1834,,2,1
1984H449S1J70,SATA GUN SHAKER RING,,,720,,0,1
N42M0ZZ04N950,H&S Nozzle Cleaning Set: Nozzle Cleaning Needle and Brush,,,2097,,-3,1
645X37TC6W5ZE,H&S Nozzle Cleaning Needle,117403,,1836,0,1,1
F2XBZ18H2J2WT,One Shot 117L Tan 8oz,,,1259,,-14,1
1XA3NJ0K7XS26,One Shot 117L Tan 16oz,,,1776,,-1,1
F9G5P4S2X00RE,One Shot 117L Tan 4oz,,,834,,-13,1
KHWZ0PP1M8S2M,Super Maxi Piston Tube assembly,11809501,,3495,0,4,1
06D8HHKSG4QW6,Super Maxi Pressure Spring,11809701,,1125,0,6,1
VY4XF6GV52C2Y,FBS Super Sprayer Gasket & Parts Set,,,2650,,3,1
JD1A3JAH48H5W,FBS Super Sprayer Cone assembly,,,2695,,3,1
SB7M98NN04XHJ,FBS Aircap Nozzle assembly large,,,2695,,1,1
BRMQY5YWXCGHJ,FBS Super Sprayer Nozzle assembly small,,,2695,,3,1
GE97WNGW77GFM,FBS HT nozzle assembly complete,,,2695,,3,1
QE4K3ZJP3G3KJ,FBS Super Sprayer complete nozzle set,11873010,,11925,0,0,1
DMV477824DRWM,Sata 3000 1.0 Non Digital Spray Gun,,,50000,,0,1
KZVAV6M5AHW1C,One Shot 118L Chamois 8oz,,,1259,,-5,1
0CJ6H2MAJAD6J,One Shot 118L Chamois 16oz,,,1777,,0,1
TDGG5C18ZGSDG,One Shot 118L Chamois 4oz,,,835,,-50,1
3K5ZBAGTNKVFJ,SataJet 3000 B HVLP Digital 1.4mm w/ 0.6L PVC Cup,,,66800,,0,1
SHZW0T56XRS3G,Holbein 12 Aeroflash Transparent Yellow 35ml,12-01,,880,0,15,1
KZBPM88ZEPSM6,15 Piece Gun Cleaning Kit,1200-K,,2480,0,-16,1
VWS07KEY3D3W2,Junior Yellow Spreader,,,37,,74,1
