Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
CZMTFMJCZRK1W,3M ULTRAFINE POLISH,,4795,Fixed,,DEFAULT,32.97,,06068,,-3,,No,No,,
70GA5GTW5NKWP,Gerson Nuisance Dust Mask 50pk,,550,Fixed,,DEFAULT,4.22,,061501-CS,,,,No,No,,
JR5ES6DGHV3AJ,3M Imperial Hookit II P500 50 Discs,,3639,Fixed,,DEFAULT,0.00,,0656,,,,No,No,,
DJ50XZ1NW0RTP,3M Imperial Hookit II P400 50 Discs,,3639,Fixed,,DEFAULT,0.00,,0673,,,,No,No,,
9CM0RWZ9XJS9T,3M Imperial Hookit II P320 Box of 50,,3734,Fixed,,DEFAULT,0.00,,0675,,,,No,No,,
7KFPAXCJ8MW2C,3M IMPERIAL HOOKIT II 80 GRIT BOX,,4368,Fixed,,DEFAULT,35.52,,0683,,,,No,No,,
AV2FDGWYWMT2C,"Soft Sander 11"" Set",,3495,Fixed,,DEFAULT,0.00,,0703,,,,No,No,,
6NYNVNGC0QXH8,Gerson PAINT STRAINER STAND,,906,Fixed,,DEFAULT,0.00,,070639,,,,No,No,,
9DNPJSHBR091M,3M Scotch Brite Roloc,,150,Fixed,,DEFAULT,0.00,,07481-1,,-14,,No,No,,
J9SDZ445B85BG,8oz CYLINDER 24/410 NAT HDPE Bottle (500/Ea),,80,Fixed,,DEFAULT,0.14,,08C24HN,,3805,,No,No,,
NACCQFBHE3E7C,8oz Cylinder Bottle Only,,0,Fixed,,DEFAULT,0.14,,08C24HN:8OZ-Bottle,,3948,,No,No,,
EZSX99PWEHBQ8,Comart Opaque Dinitrile Orange 1oz *DISCONTINUED,,199,Fixed,,DEFAULT,1.42,,1-009-1,DISCONTINUED ITEM,17,,No,No,,
A9ANCQYHK480J,Comart Opaque Dinitrile Orange 16oz  *DISCONTINUED,,2995,Fixed,,DEFAULT,14.17,,1-009-16,DISCONTINUED ITEM,1,,No,No,,
B0E4D3XSFA7XG,Comart Opaque Dinitrile Orange 32oz  *DISCONTINUED,,4500,Fixed,,DEFAULT,21.21,,1-009-32,DISCONTINUED ITEM,,,No,No,,
QTE9TK6H1FAJ8,Comart Opaque Dinitrile Orange 4oz  *DISCONTINUED,,399,Fixed,,DEFAULT,3.82,,1-009-4,DISCONTINUED ITEM,4,,No,No,,
5N8373TMGPHQC,Comart Opaque ToluIdIne Red 1oz,,289,Fixed,,DEFAULT,0.00,734748301012,1-010-1,,9,,No,No,,
MK0ZTH9BCGD96,Comart Opaque ToluIdIne Red 16oz,,2995,Fixed,,DEFAULT,14.17,734748301050,1-010-16,,1,,No,No,,
A8W21GAQRAPRP,Comart Opaque ToluIdIne Red 32oz,,4500,Fixed,,DEFAULT,21.21,734748301067,1-010-32,,,,No,No,,
N07S2X9RYCNE8,Comart Opaque ToluIdIne Red 4oz,,825,Fixed,,DEFAULT,3.88,734748301036,1-010-4,,10,,No,No,,
FAVV8F26834QY,Comart Opaque Diaryl Orange 1oz,,289,Fixed,,DEFAULT,0.00,734748302118,1-021-1,,2,,No,No,,
M3MJPSB2WPRK8,Comart Opaque Diaryl Orange 16oz,,2995,Fixed,,DEFAULT,14.17,734748302156,1-021-16,,2,,No,No,,
YMV2CDATFG02M,Comart Opaque Diaryl Orange 32oz,,4500,Fixed,,DEFAULT,21.21,734748302163,1-021-32,,,,No,No,,
1EBSWD0R3BDQ4,Comart Opaque Diaryl Orange 4oz,,825,Fixed,,DEFAULT,3.82,734748302132,1-021-4,,2,,No,No,,
RKTSWJ0GBZEHT,Comart Opaque Indian Red 1oz *DISCONTINUED,,199,Fixed,,DEFAULT,1.42,,1-022-1,DISCONTINUED ITEM,6,,No,No,,
05358H5ZJ5746,Comart Opaque Indian Red 32oz *DISCONTINUED,,2995,Fixed,,DEFAULT,14.17,,1-022-16,DISCONTINUED ITEM,1,,No,No,,
80Y63DS0H6RN0,Comart Opaque Indian Red 4oz *DISCONTINUED,,399,Fixed,,DEFAULT,3.82,,1-022-4,DISCONTINUED ITEM,2,,No,No,,
SWN4Y6M81GDZT,Comart Opaque Naphtol Dark Red 1oz,,289,Fixed,,DEFAULT,1.42,734748302613,1-026-1,,17,,No,No,,
AAC84FB1Y3X16,Comart Opaque Naphtol Dark Red 32oz,,4500,Fixed,,DEFAULT,21.21,734748302668,1-026-32,,,,No,No,,
ZSQTC592B15NP,Comart Opaque Naphtol Dark Red 4oz,,825,Fixed,,DEFAULT,3.82,734748302637,1-026-4,,5,,No,No,,
ERDAW8KG0QYPY,Comart Opaque Lime Green 1oz *DISCONTINUED,,199,Fixed,,DEFAULT,1.42,,1-027-1,DISCONTINUED ITEM,10,,No,No,,
RY99XAVJW6DMW,Comart Opaque Lime Green 16oz *DISCONTINUED,,2995,Fixed,,DEFAULT,14.17,,1-027-16,DISCONTINUED ITEM,,,No,No,,
42V2MHQW4M39P,Comart Opaque Lime Green 32oz *DISCONTINUED,,4500,Fixed,,DEFAULT,21.21,,1-027-32,DISCONTINUED ITEM,,,No,No,,
MZMZTKPFPF1B2,Comart Opaque Lime Green 4oz *DISCONTINUED,,399,Fixed,,DEFAULT,3.82,,1-027-4,DISCONTINUED ITEM,-3,,No,No,,
NH3AR2263616R,Comart Opaque Violet Madder 1oz *DISCONTINUED,,199,Fixed,,DEFAULT,1.42,,1-034-1,DISCONTINUED ITEM,12,,No,No,,
G5YGXG6145ZAY,Comart Opaque Violet Madder 16 oz *DISCONTINUED,,2995,Fixed,,DEFAULT,14.17,,1-034-16,DISCONTINUED ITEM,1,,No,No,,
HTRRAEC7YG4Z4,Comart Opaque Violet Madder 4oz *DISCONTINUED,,399,Fixed,,DEFAULT,3.82,,1-034-4,DISCONTINUED ITEM,4,,No,No,,
97AMTJDD6VZNJ,Comart Opaque Mineral Blue 1oz *DISCONTINUED,,199,Fixed,,DEFAULT,1.40,,1-037-1,DISCONTINUED ITEM,9,,No,No,,
1VHCXPRAE5N1M,Comart Opaque Mineral Blue 16oz *DISCONTINUED,,2995,Fixed,,DEFAULT,13.96,,1-037-16,DISCONTINUED ITEM,,,No,No,,
HCVX5SZ1S2ESY,Comart Opaque Mineral Blue 4oz *DISCONTINUED,,399,Fixed,,DEFAULT,3.82,,1-037-4,DISCONTINUED ITEM,3,,No,No,,
RCKDDM1CAC5P2,Comart Opaque Paynes Gray 1oz,,289,Fixed,,DEFAULT,1.42,734748304419,1-044-1,,-3,,No,No,,
FEHSQ5F0EBEWY,Comart Opaque Paynes Gray 32oz,,4500,Fixed,,DEFAULT,21.21,734748304464,1-044-32,,,,No,No,,
H69R1P2RRCMYM,Comart Opaque Paynes Gray 4oz,,825,Fixed,,DEFAULT,3.88,734748304433,1-044-4,,7,,No,No,,
ZXQR54HS53BCE,Artograph Glass Plate,,695,Fixed,,DEFAULT,0.00,,1-045,,,,No,No,,
KFMY70N1B9SM6,Comart Speciality Opaque Copper Metallic 1oz,,289,Fixed,,DEFAULT,1.42,734748310113,1-101-1,,16,,No,No,,
K81NRY7PZAED6,Opaque Copper Metallic Comart,,825,Fixed,,DEFAULT,3.82,,1-101-4,,5,,No,No,,
S30JFR85T8VKJ,Comart Speciality Opaque Bronze Metallic 1oz,,289,Fixed,,DEFAULT,1.42,734748310212,1-102-1,,11,,No,No,,
3SBX9SVB6KTVW,Opaque Bronze Metallic Comart 4oz,,825,Fixed,,DEFAULT,3.82,,1-102-4,,3,,No,No,,
GBNGVFY9NGNRY,Comart Speciality Opaque Silver Metallic 1oz,,289,Fixed,,DEFAULT,1.42,734748310311,1-103-1,,-1,,No,No,,
9CAYK52R71X44,Comart Opaque Silver Metallic 16oz,,2995,Fixed,,DEFAULT,14.17,734748310359,1-103-16,,,,No,No,,
79BHR326746G6,Medea Comart Opaque Silver Metallic 4oz,,825,Fixed,,DEFAULT,3.82,,1-103-4,,1,,No,No,,
M272KEZ681A58,Comart Speciality Opaque Gold Metallic 1oz,,289,Fixed,,DEFAULT,1.45,734748310410,1-104-1,,9,,No,No,,
9RVXXETKZBVHP,Opaque Gold Metallic Comart 4oz,,825,Fixed,,DEFAULT,3.88,,1-104-4,,4,,No,No,,
28E1ATE3FVPNC,Comart Specialty Pearlescent Additive 1oz *DISCONTINUED,,289,Fixed,,DEFAULT,1.40,,1-110-1,,4,,No,No,,
0BXQ60Y7A3Y7W,Comart Specialty Pearlescent Additive 16oz *DISCONTINUED,,2995,Fixed,,DEFAULT,13.96,,1-110-16,,-1,,No,No,,
H4FPWWHWX693C,Comart Pearlescent Additive 4oz *DISCONTINUED,,825,Fixed,,DEFAULT,3.88,,1-110-4,,14,,No,No,,
HSP8WHZRPCZH2,Paasche Bench Top Spray Booth Explosion Proof Motor,,45900,Fixed,,DEFAULT,351.20,,1/4-1-EXP,,,,No,No,,
