"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","475","135","V6000-VHS","","","29.95","0","0","0","","0","",""
"0","476","135","D6000-DVD","","","29.95","0","0","0","","0","",""
"0","477","136","V4000-VHS","","","29.95","0","0","0","","0","",""
"0","478","136","D4000-DVD","","","29.95","0","0","0","","0","",""
"0","479","137","V7000-VHS","","","29.95","0","0","0","","0","",""
"0","480","137","D7000-DVD","","","29.95","0","0","0","","0","",""
"0","481","138","V8000-VHS","","","29.95","0","0","0","","0","",""
"0","482","138","D8000-DVD","","","29.95","0","0","0","","0","",""
"0","483","139","VL#1L Fine","","","51","0","0","0","","0","",""
"0","484","139","VL#3L-Medium","","","51","0","0","0","","0","",""
"0","485","139","VL#5L-Large","","","51","0","0","0","","0","",""
"0","486","140","H#1L-Fine","","","36.95","0","0","0","","0","",""
"0","487","140","H#3L-Medium","","","36.95","0","0","0","","0","",""
"0","488","140","H#5L-Large","","","36.95","0","0","0","","0","",""
"0","491","141","SSO-6 oz-Slow Cut","","","9.99","0","0","0","","0","",""
"0","492","141","AEX-5 lb-Fast","","","29.99","0","0","0","","0","",""
"0","494","141","SSO-2 (1-1/2)lb-Slow Cut","","","21","0","0","0","","0","",""
"0","495","141","AEX-25 lb Fast Cut","","","99.95","0","0","0","","0","",""
"0","496","142","6' Hose w/ MT","","","20.95","0","0","0","","0","",""
"0","497","142","10' Hose w/ MT","","","24.95","0","0","0","","0","",""
"0","498","142","15' Hose w/ MT","","","26.95","0","0","0","","0","",""
"0","499","142","20' Hose w/ MT","","","28.95","0","0","0","","0","",""
"0","500","142","25' Hose w/ MT","","","31.95","0","0","0","","0","",""
"0","501","142","Moisture Trap Only","","","12.95","0","0","0","","0","",""
"0","502","143","#1:HC-1 Air Cap","","","2.95","0","0","0","","0","",""
"0","503","143","#1:HC-3 Air Cap","","","2.95","0","0","0","","0","",""
"0","504","143","#1:HC-5 Air Cap","","","2.95","0","0","0","","0","",""
"0","505","143","#2:3A-4 O-Ring","","","0.8","0","0","0","","0","",""
"0","506","143","#4:H-155 Finger Button","","","0.95","0","0","0","","0","",""
"0","507","143","#5:H-143 Handle","","","2.25","0","0","0","","0","",""
"0","508","143","#6:H-153 Set Screw","","","0.75","0","0","0","","0","",""
"0","509","143","#7:H-1 Color Adj. Part","","","7.95","0","0","0","","0","",""
"0","510","143","#7:H-3 Color Adj. Part","","","7.95","0","0","0","","0","",""
"0","511","143","#7:H-5 Color Adj. Part","","","7.95","0","0","0","","0","",""
"0","512","143","#8:HT-1 Tip","","","3.45","0","0","0","","0","",""
"0","513","143","#8:HT-3 Tip","","","3.45","0","0","0","","0","",""
"0","514","143","#8:HT-5 Tip","","","3.45","0","0","0","","0","",""
"0","515","143","#9:H-185 Packing","","","0.6","0","0","0","","0","",""
"0","516","143","#10:H-184 Nut","","","1","0","0","0","","0","",""
"0","909","143","#11:HN-1 Needle","","","5.5","0","0","0","","0","",""
"0","910","143","#11:HN-3 Needle","","","5.5","0","0","0","","0","",""
"0","911","143","#11:HN-5 Needle","","","5.5","0","0","0","","0","",""
"0","912","143","#12:H-128 Valve Casing","","","4.15","0","0","0","","0","",""
"0","913","143","#13:H-192 Valve Plunger","","","2.1","0","0","0","","0","",""
"0","914","143","#14:A-52 Valve Washer (12)","","","3.85","0","0","0","","0","",""
"0","915","143","#15:A-22 Valve Spring","","","0.95","0","0","0","","0","",""
"0","916","143","#16:A-23A Air Valve Nut","","","1.1","0","0","0","","0","",""
"0","517","144","#11:HN-1 Needle","","","5.5","0","0","0","","0","",""
"0","518","144","#11:HN-3 Needle","","","5.5","0","0","0","","0","",""
"0","519","144","#11:HN-5 Needle","","","5.5","0","0","0","","0","",""
"0","520","144","#12:H-128 Valve Casing","","","4.15","0","0","0","","0","",""
"0","521","144","#13:H-192 Valve Plunger","","","2.1","0","0","0","","0","",""
"0","522","144","#14:A-52 Valve Washer (12)","","","3.85","0","0","0","","0","",""
"0","523","144","#15:A-22 Valve Spring","","","0.95","0","0","0","","0","",""
"0","524","144","#16:A-23A Air Valve Nut","","","1.1","0","0","0","","0","",""
"0","525","145","100-8 Fine Head","","","0","0","0","0","","0","",""
"0","526","145","100-9 Medium Head","","","0","0","0","0","","0","",""
"0","527","146","100-3 Fine Head","","","0","0","0","0","","0","",""
"0","528","146","100-32 Medium Head","","","0","0","0","0","","0","",""
"0","529","147","100-1 Fine Head/Right Hand","","","0","0","0","0","","0","",""
"0","530","147","100-2 Medium Head/Right Hand","","","0","0","0","0","","0","",""
"0","531","147","100-LH-1 Fine Head/Left Hand","","","0","0","0","0","","0","",""
"0","532","147","100-LH-2 Medium Head/Left Hand","","","0","0","0","0","","0","",""
"0","533","148","100-6 Medium Head","","","0","0","0","0","","0","",""
"0","534","148","100-5 Fine Head","","","0","0","0","0","","0","",""
"0","535","148","100-7 Large Head","","","0","0","0","0","","0","",""
"0","536","149","175-4 Fine Head","","","0","0","0","0","","0","",""
"0","537","149","175-5 Medium Head","","","0","0","0","0","","0","",""
"0","538","149","175-6 Large Head","","","0","0","0","0","","0","",""
"0","539","150","2020-1F Fine Head","","","0","0","0","0","","0","",""
"0","540","150","2020-1M Medium Head","","","0","0","0","0","","0","",""
"0","541","151","2020-2F Fine Head","","","0","0","0","0","","0","",""
"0","542","151","2020-2M Medium Head","","","0","0","0","0","","0","",""
"0","543","152","T61-1 Fine Head","","","0","0","0","0","","0","",""
"0","544","152","T61-3 Medium Head","","","0","0","0","0","","0","",""
"0","545","152","T61-5 Large Head","","","0","0","0","0","","0","",""
"0","546","153","T85 Nailair Only","","","94.95","0","0","0","","0","",""
"0","547","153","T85K Nailair w/ Hose","","","101.95","0","0","0","","0","",""
"0","549","154","Optional Upgrades","","","0","0","0","0","","1","",""
"0","550","154","Crown Cap","","","14.95","0","0","0","","0","",""
"0","552","155","I-725-1 Solvent Proof Needle Packing w/ Screw","","","6.5","0","0","0","","0","",""
"0","553","155","Crown Cap","","","14.95","0","0","0","","0","",""
"0","554","156","VHS","","","20","0","0","0","","0","",""
"0","555","156","DVD","","","29.95","0","0","0","","0","",""
"0","557","157","VHS","","","20","0","0","0","","0","",""
"0","558","157","DVD","","","29.95","0","0","0","","0","",""
"0","559","158","VHS","","","29.95","0","0","0","","0","",""
